,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,loan_default,house_onwer,emp_year_greater_5,loan_grade0,loan_grade1,loan_grade2,loan_grade3,loan_grade4,loan_grade5,loam_purpose0,loam_purpose1,loam_purpose2,loam_purpose3,loam_purpose4,loam_purpose5,loam_purpose6,loam_purpose7,loam_purpose8,loam_purpose9,loam_purpose10,loan_term0
64,15000,10.08,484.58,85000,17.73,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,14000,17.97,505.93,85000,18.63,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,10000,16.91,356.08,78000,13.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
67,1000,6.67,30.73,75000,9.6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,6000,7.84,187.58,94000,18.81,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69,30000,27.27,920.91,350000,12.65,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
70,18000,13.56,611.36,60000,25.4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71,10000,13.56,339.65,32900,24.66,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
72,10000,13.56,339.65,40000,21.42,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
73,16875,30.75,553.77,70000,39.71,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
74,10000,6.67,307.27,66296,9.88,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
75,13925,10.47,452.4,48000,7.9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,18000,16.91,446.48,75000,2.94,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,1000,26.31,40.46,53000,11.82,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
78,18000,12.73,604.16,36000,30.53,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
79,3000,7.21,92.92,45000,1.73,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,2000,10.47,64.98,113000,24.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81,24000,16.91,595.31,64000,20.87,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,30000,12.73,678.46,66000,12.22,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,35000,17.97,888.2,5500,313.32,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,35000,11.06,1146.85,125000,13.3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
85,13550,22.35,519.94,38500,31.92,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,22000,22.35,612.01,68000,19.15,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,25000,10.47,812.21,85000,23.76,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,9000,6.67,276.54,70000,8.85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
